DOI,f_avg_core_width_,f_Ms_emu_g_MNP,f_Hc_,c_core_composition,c_dopant_element_1,c_dopant_element_2,c_is_coated,f_H_,f_FCY_,f_conc_MNP_mg_mL,c_shape_type,c_magnetic_phase,SAR_W_g,f_avg_core_sd_ _BOTH,f_area_volume_ratio,f_Mr_Ms_BOTH,f_dopant_ratio_1,f_dopant_ratio_2
10.1016/ j.jmmm.2012.12.010,28,63,600,CoFe2O4,,,citric acid,640.83,32,,,ferromagnetic,40,,,,,
10.1016/ j.jmmm.2012.12.010,28,63,600,CoFe2O4,,,citric acid,640.83,52,,,ferromagnetic,65,,,,,
10.1016/ j.jmmm.2012.12.010,28,63,600,CoFe2O4,,,citric acid,640.83,72,,,ferromagnetic,95,,,,,
10.1016/ j.jmmm.2012.12.010,28,63,600,CoFe2O4,,,citric acid,640.83,88,,,ferromagnetic,115,,,,,
10.1016/ j.jmmm.2012.12.010,28,63,600,CoFe2O4,,,citric acid,640.83,101,,,ferromagnetic,133,,,,,
10.1016/ j.jmmm.2012.12.010,21,75,0,MnFe2O4,,,,628.5,195,,spherical,,295,,,,,
10.1016/ j.jmmm.2012.12.010,15,125,0,MnFe2O4,,,,628.5,500,,spherical,,414,,,,,
10.1016/ j.jmmm.2012.12.010,15,110,0,CoFe2O4,,,MnFe2O4,628.5,500,,core shell,,2280,,,,,
10.1016/ j.jmmm.2012.12.010,15,108,0,MnFe2O4,,,CoFe2O4,628.5,500,,core shell,,3034,,,,,
10.1016/ j.jmmm.2012.12.010,60,,,Fe3O4,,,HA,628.5,307,,sphericals,,85,,,,,
10.1016/ j.jallcom.2018.11.280,8,50.61,159.8,CoFe2O4,,,,628.32,97,8,,ferromagnetic,358.77,2,,0.212,,
10.1016/ j.jallcom.2018.11.280,25,50.71,225,ZnCoFe2O4,Zn,,,628.32,97,8,,ferromagnetic,552,5,,0.211,,
10.1016/ j.jallcom.2018.11.280,15.3,45,2085.2,CoFe2O4,,,,628.32,80,,spherical,ferrimagnetic,254,,,,,
10.1016/ j.jallcom.2018.11.280,15.3,51.1,483.1,CoFe2O4,,,MnFe2O4 shell,628.32,80,,spherical,ferrimagnetic,1254.6,,,,,
10.1016/ j.jallcom.2018.11.280,70,,300,CoFe2O4,,,citric acid,625,265,1,nanorod,ferromagnetic,882,,5 (aspect ratio),,,
10.1016/ j.jallcom.2018.11.280,70,,300,CoFe2O4,,,citric acid,625,265,2,nanorod,ferromagnetic,886,,5 (aspect ratio),,,
10.1016/ j.molliq.2018.11.108,10,76,12.57,Fe3O4,,,,603.19,100,,spherical,superparamagnetic,86,,,,,
10.1016/ j.molliq.2018.11.108,10,81,12.57,Fe3O4,,,citrate,603.19,100,,spherical,superparamagnetic,171,,,,,
10.1016/ j.molliq.2018.11.108,10,79,12.57,Fe3O4,,,carboxymethylcellulose,603.19,100,,spherical,superparamagnetic,97,,,,,
10.1016/ j.molliq.2018.11.108,15,60,0,Fe3O4,,,,600,100,25,,superparamagnetic,2.4,,,,,
10.1016/ j.molliq.2018.11.108,33.6,25,186,NiFe2O4,Zn,,,600,100,,aggregate,superparamagnetic,10,,,,0,
10.1016/ j.molliq.2018.11.108,32.7,48,160,Ni0.8Zn0.2Fe2O4,Zn,,,600,100,,aggregate,superparamagnetic,25,,,,0.2,
10.1016/ j.molliq.2018.11.108,12.5,66.6,0,Fe3O4,,,citric acid,600,310,0.5,spherical,soft ferrimagnetic,227.312,2.1,,Low,,
10.1016/ j.molliq.2018.11.108,12.5,66.6,0,Fe3O4,,,citric acid,600,310,1,spherical,soft ferrimagnetic,130.568,2.1,,Low,,
10.1016/ j.ccr.2022.214809,12.5,66.6,0,Fe3O4,,,citric acid,600,310,2,spherical,soft ferrimagnetic,103.001,2.1,,Low,,
10.1016/ j.ccr.2022.214809,14.1,45.54,0,Fe3O4,,,gold,600,310,0.5,spherical,soft ferrimagnetic,162.833,2.6,,Low,,
10.1016/ j.ccr.2022.214809,14.1,35.28,0,Fe3O4,,,gold & silica,600,310,0.5,spherical,soft ferrimagnetic,114.816,,,Low,,
10.1016/ j.ccr.2022.214809,20,,,Fe3O4,,,,600,273,,,,120,,,,,
10.1016/ j.ccr.2022.214809,8,75,100,Fe2O3,,,,600,100,1,nanoflowers,superparamagnetic,380,1,,,,
10.1016/ j.ccr.2022.214809,124,69,,Fe3O4,,,oleic acid,600,315,1,nanocube,ferrimagnetic,516,12,,,,
10.1016/ j.ccr.2022.214809,124,69,,Fe3O4,,,oleic acid,600,315,2,nanocube,ferrimagnetic,595,12,,,,
10.1016/ j.ccr.2022.214809,124,69,,Fe3O4,,,oleic acid,600,315,5,nanocube,ferrimagnetic,388,12,,,,
10.1016/ j.ccr.2022.214809,124,42,,Fe3O4,,,TMAAD,600,315,1,nanocube,ferrimagnetic,494,12,,,,
10.1016/ j.ccr.2022.214809,124,42,,Fe3O4,,,TMAAD,600,315,2,nanocube,ferrimagnetic,167,12,,,,
10.1016/ j.ccr.2022.214809,124,42,,Fe3O4,,,TMAAD,600,315,5,nanocube,ferrimagnetic,426,12,,,,
10.1016/ j.ccr.2022.214809,33,82,138,Fe3O4,,,PVP,600,316,5,octahedron,superparamagnetic,963,,,,,
10.1016/ j.ccr.2022.214809,120,108,,Fe3O4,,,SiO2,586,300,2,nanoring,ferromagnetic,1021,,,,,
10.1016/ j.ccr.2022.214809,120,62.4,,Fe3O4,,,SiO2,586,300,2,nanoring,ferromagnetic,1021,,,,,
10.1016/ j.ccr.2022.214809,18,86,,Fe3O4,,,PEG1500-NH2,580,145,,Anisotropic,superparamagnetic,338,,,,,
10.1016/ j.ccr.2022.214809,18,86,,Fe3O4,,,PEG1500-NH2,580,145,,Anisotropic,superparamagnetic,462,,,,,
10.1016/ j.ccr.2022.214809,18,86,,Fe3O4,,,PEG1500-NH2,580,145,,Anisotropic,superparamagnetic,429,,,,,
10.1016/ j.jmmm.2012.05.027,18,86,,Fe3O4,,,PEG1500-COOH,580,145,,Anisotropic,superparamagnetic,293,,,,,
10.1016/ j.jmmm.2012.05.027,18,86,,Fe3O4,,,PEG1500-OH,580,145,,Anisotropic,superparamagnetic,453,,,,,
10.1016/ j.jmmm.2012.05.027,18,86,,Fe2O3,,,PEGylated phosphonic acid,580,145,,Anisotropic,superparamagnetic,338,,,,,
10.1016/ j.jmmm.2012.05.027,18,86,,Fe2O3,,,PEGylated dopamine,580,145,,Anisotropic,superparamagnetic,462,,,,,
10.1016/ j.jmmm.2012.05.027,18,86,,Fe2O3,,,PEGylated gallic acid,580,145,,Anisotropic,superparamagnetic,429,,,,,
10.1016/ j.jmmm.2009.02.063,6,26.31,0,Mn0.8Zn0.2Fe2O4,,,,557.81,222,100,spherical,superparamagnetic,4.85,,,,0,
10.1016/ j.jmmm.2009.02.063,6,23.93,0,Mn0.8Zn0.2Fe1.985Ce0.015O4,Ce,,,557.81,222,100,spherical,superparamagnetic,4.52,,,,0.015,
10.1016/ j.jmmm.2009.02.063,6,24.66,0,Mn0.8Zn0.2Fe1.970Ce0.030O4,Ce,,,557.81,222,100,spherical,superparamagnetic,4.41,,,,0.03,
10.1016/ j.jmmm.2009.02.063,6,22.88,0,Mn0.8Zn0.2Fe1.950Ce0.050O4,Ce,,,557.81,222,100,spherical,superparamagnetic,4.35,,,,0.05,
10.1016/ j.jmmm.2009.02.063,6,21.52,0,Mn0.8Zn0.2Fe1.900Ce0.100O4,Ce,,,557.81,222,100,spherical,superparamagnetic,4.22,,,,0.1,
10.1016/ j.jmmm.2009.02.063,30,4,,gamma-Fe2O3,,,carboxymethyl-dextran,500,160,,aggregate,superparamagnetic,200,,,,,
10.1016/ j.jmmm.2009.02.063,20.8,31,40,Cu0.4Zn0.65Zr0.05Fe1.9O4,Zr,,,500,400,6.67,sphericals,ferrimagnetic,23.5,,,,0.05,
10.1016/ j.jmmm.2009.02.063,27.6,15,36,Cu0.4Zn0.7Zr0.1Fe1.8O4,Zr,,,500,400,6.67,sphericals,superparamagnetic,7.1,,,,0.1,
10.1016/ j.jmmm.2009.02.063,70,,,NiZnFe2O4,,,,500,295,,,,4.36,,,,,
10.1016/ j.jmmm.2009.02.063,124,69,,Fe3O4,,,oleic acid,500,315,1,nanocube,ferrimagnetic,258,12,,,,
10.1016/ j.jmmm.2009.02.063,124,69,,Fe3O4,,,oleic acid,500,315,2,nanocube,ferrimagnetic,271,12,,,,
10.1016/ j.jmmm.2009.02.079,124,69,,Fe3O4,,,oleic acid,500,315,5,nanocube,ferrimagnetic,287,12,,,,
10.1016/ j.jmmm.2009.02.079,124,42,,Fe3O4,,,TMAAD,500,315,1,nanocube,ferrimagnetic,388,12,,,,
10.1016/ j.jmmm.2009.02.079,124,42,,Fe3O4,,,TMAAD,500,315,2,nanocube,ferrimagnetic,88,12,,,,
10.1016/ j.jmmm.2009.04.061,124,42,,Fe3O4,,,TMAAD,500,315,5,nanocube,ferrimagnetic,164,12,,,,
10.1016/ j.jmmm.2009.04.061,13.9,52.8,320.2,Co0.7Ca0.3Fe2O4,Co,Ca,oleic acid,475,316,0.5,spherical,superparamagnetic,200.9,,,0.24,0.7,0.3
10.1016/ j.jmmm.2009.04.061,13.9,52.8,320.2,Co0.7Ca0.3Fe2O4,Co,Ca,oleic acid,475,316,1,spherical,superparamagnetic,272.1,,,0.24,0.7,0.3
10.1016/ j.jmmm.2009.04.061,13.9,52.8,320.2,Co0.7Ca0.3Fe2O4,Co,Ca,oleic acid,475,316,3,spherical,superparamagnetic,418.5,,,0.24,0.7,0.3
10.1016/ j.jmmm.2009.02.079,32,60,31.9,Co0.76Zn0.24Fe2O4,Co,Zn,,464.88,69,,spherical,ferrimagnetic,26,,,,0.76,0.24
10.1016/ j.jmmm.2004.04.072,38,70,7.37,Li0.375Zn0.25Fe2.375O4,Li,Zn,,464.88,69,,spherical,ferrimagnetic,95,,,,0.375,0.25
10.1007/ s12274-013-0314-z,11,71,50,CoFe2O4,,,oleic acid,455,316,0.5,spherical,superparamagnetic,259.8,1.25,,0.07,,
10.1007/ s11095-011-0610-1,11,71,50,CoFe2O4,,,oleic acid,455,316,1,spherical,superparamagnetic,192.6,1.25,,0.07,,
10.1016/ S0304-8853(99)00025-5,11,71,50,CoFe2O4,,,oleic acid,455,316,3,spherical,superparamagnetic,119.6,1.25,,0.07,,
10.1016/ S0304-8853(99)00025-5,9,54,225,CoFe2O4,,,ZDS,455,316,0.5,spherical,superparamagnetic,568,0.034,,0.15,,
10.1016/ j.jmmm.2013.08.016,9,54,225,CoFe2O4,,,ZDS,455,316,1,spherical,superparamagnetic,308.8,0.034,,0.15,,
10.1016/ j.jmmm.2013.08.016,9,54,225,CoFe2O4,,,ZDS,455,316,3,spherical,superparamagnetic,276.1,0.034,,0.15,,
10.1021/ nn300409a,10,75.3,159.1,CoFe2O4,,,oleic acid and oleylamine,446.86,316,0.5,spherical,superparamagnetic,384,,,0.109,,
10.1021/ nn300409a,10,75.3,159.1,CoFe2O4,,,oleic acid and oleylamine,446.86,316,1,spherical,superparamagnetic,214,,,0.109,,
10.1021/ cm100403a,10,75.3,159.1,CoFe2O4,,,oleic acid and oleylamine,446.86,316,2,spherical,superparamagnetic,169,,,0.109,,
10.1039/ C1JM11910E,10,50.8,27.5,CaFe2O4,,,oleic acid and oleylamine,446.86,316,0.5,spherical,superparamagnetic,407,,,0.022,,
10.1039/ C1JM11910E,10,50.8,27.5,CaFe2O4,,,oleic acid and oleylamine,446.86,316,1,spherical,superparamagnetic,361,,,0.022,,
10.1039/ C1JM11910E,10,50.8,27.5,CaFe2O4,,,oleic acid and oleylamine,446.86,316,2,spherical,superparamagnetic,101,,,0.022,,
10.1039/ b712282k,8,40.72,,Mg0.9Ni0.1Fe2O4,Mg,Ni,,443.27,316,1,spherical,ferrimagnetic,97,,,,0.9,0.1
10.1016/ j.jmmm.2009.02.079,8,40.72,,Mg0.9Ni0.1Fe2O4,Mg,Ni,,443.27,316,2,spherical,ferrimagnetic,196,,,,0.9,0.1
10.1016/ j.jmmm.2007.02.031,8,40.72,,Mg0.9Ni0.1Fe2O4,Mg,Ni,,443.27,316,3,spherical,ferrimagnetic,301,,,,0.9,0.1
10.1016/ j.jmmm.2007.02.031,10,46.09,,Mg0.7Ni0.3Fe2O4,Mg,Ni,,443.27,316,1,spherical,ferrimagnetic,103,,,,0.7,0.3
10.1016/ j.jmmm.2007.02.031,10,46.09,,Mg0.7Ni0.3Fe2O4,Mg,Ni,,443.27,316,2,spherical,ferrimagnetic,205,,,,0.7,0.3
10.1016/ j.jmmm.2007.02.031,10,46.09,,Mg0.7Ni0.3Fe2O4,Mg,Ni,,443.27,316,3,spherical,ferrimagnetic,304,,,,0.7,0.3
10.1016/ j.jmmm.2007.02.031,12,48.78,,Mg0.5Ni0.5Fe2O4,Mg,Ni,,443.27,316,1,spherical,ferrimagnetic,129,,,,0.5,0.5
10.1016/ j.jmmm.2007.02.031,12,48.78,,Mg0.5Ni0.5Fe2O4,Mg,Ni,,443.27,316,2,spherical,ferrimagnetic,15,,,,0.5,0.5
10.1016/ j.ceramint.2021.08.015,12,48.78,,Mg0.5Ni0.5Fe2O4,Mg,Ni,,443.27,316,3,spherical,ferrimagnetic,328,,,,0.5,0.5
10.1016/ j.ceramint.2021.08.015,10,,,CoFe2O4,,,,443,316,,,,185.32,,,,,
10.1016/ j.ceramint.2021.08.015,11,,,NiFe2O4,,,,443,316,,,,410,,,,,
10.1016/ j.jmmm.2005.09.026,8,70.8,0,CoFe2O4,,,oleic acid,443,316,0.5,spherical,superparamagnetic,144,,,0,,
10.1016/ j.jmmm.2005.09.026,8,70.8,0,CoFe2O4,,,oleic acid,443,316,1,spherical,superparamagnetic,78,,,0,,
10.1016/ j.jmmm.2005.09.026,8,70.8,0,CoFe2O4,,,oleic acid,443,316,2,spherical,superparamagnetic,49,,,0,,
10.1016/ j.jmmm.2005.09.026,9,52.7,0,MgFe2O4,,,oleic acid,443,316,0.5,spherical,superparamagnetic,132,,,0,,
10.1016/ j.jmmm.2005.09.026,9,52.7,0,MgFe2O4,,,oleic acid,443,316,1,spherical,superparamagnetic,93,,,0,,
10.1016/ j.jmmm.2005.09.026,9,52.7,0,MgFe2O4,,,oleic acid,443,316,2,spherical,superparamagnetic,77,,,0,,
10.1016/ j.jmmm.2005.02.028,8,70.8,0,CoFe2O4,,,ZDS,443,316,0.5,spherical,superparamagnetic,544,,,0,,
10.1016/ j.jmmm.2005.02.028,8,70.8,0,CoFe2O4,,,ZDS,443,316,1,spherical,superparamagnetic,507,,,0,,
10.1016/ j.jmmm.2005.02.028,8,70.8,0,CoFe2O4,,,ZDS,443,316,2,spherical,superparamagnetic,439,,,0,,
10.1016/ j.jmmm.2005.02.028,9,52.7,0,MgFe2O4,,,ZDS,443,316,0.5,spherical,superparamagnetic,453,,,0,,
10.1016/ j.jmmm.2005.02.028,9,52.7,0,MgFe2O4,,,ZDS,443,316,1,spherical,superparamagnetic,265,,,0,,
10.1016/ j.jmmm.2005.02.028,9,52.7,0,MgFe2O4,,,ZDS,443,316,2,spherical,superparamagnetic,155,,,0,,
10.1016/ S0304-8853(03)00426-8,11.8,34.45,0,Zn0.9Mg0.5Cu0.1Fe2O.4,Cu,,"oleic acid, Oleylamine",442.46,316,1,spherical,superparamagnetic,127.88,,,,0.1,
10.1016/ S0304-8853(03)00426-8,11.8,34.45,0,Zn0.9Mg0.5Cu0.1Fe2O4,Cu,,"oleic acid, Oleylamine",442.46,316,3,spherical,superparamagnetic,121.43,,,,0.1,
10.1016/ S0304-8853(03)00426-8,14.2,38.77,0,Zn0.8Mg0.5Cu0.2Fe2O4,Cu,,"oleic acid, Oleylamine",442.46,316,1,spherical,superparamagnetic,102.89,,,,0.2,
10.1016/ S0304-8853(03)00426-8,14.2,38.77,0,Zn0.8Mg0.5Cu0.2Fe2O4,Cu,,"oleic acid, Oleylamine",442.46,316,3,spherical,superparamagnetic,88.49,,,,0.2,
10.1016/ S0304-8853(03)00426-8,15.9,29.73,0,Zn0.7Mg0.5Cu0.3Fe2O4,Cu,,"oleic acid, Oleylamine",442.46,316,1,spherical,superparamagnetic,56.14,,,,0.3,
10.1016/ S0304-8853(03)00426-8,15.9,29.73,0,Zn0.7Mg0.5Cu0.3Fe2O4,Cu,,"oleic acid, Oleylamine",442.46,316,3,spherical,superparamagnetic,55.98,,,,0.3,
10.1016/ j.ijpharm.2015.10.058,14,69.98,0,Zn0.9Ca0.1Fe2O4,Zn,Ca,oleic acid,442,316,1,spherical,superparamagnetic,60.45,,,0,0.9,0.1
10.1016/ j.ijpharm.2015.10.058,14,69.98,0,Zn0.9Ca0.1Fe2O4,Zn,Ca,oleic acid,442,316,3,spherical,superparamagnetic,954.41,,,0,0.9,0.1
10.1016/ j.ijpharm.2015.10.058,14,70.05,0,Zn0.7Ca0.3Fe2O4,Zn,Ca,oleic acid,442,316,1,spherical,superparamagnetic,322.32,,,0,0.7,0.3
10.1016/ j.physb.2017.12.010,14,70.05,0,Zn0.7Ca0.3Fe2O4,Zn,Ca,oleic acid,442,316,3,spherical,superparamagnetic,3767.4,,,0,0.7,0.3
10.1016/ j.physb.2017.12.010,15,76.53,0,Zn0.5Ca0.5Fe2O4,Zn,Ca,oleic acid,442,316,1,spherical,superparamagnetic,460.46,,,0,0.5,0.5
10.1016/ j.physb.2017.12.010,15,76.53,0,Zn0.5Ca0.5Fe2O4,Zn,Ca,oleic acid,442,316,3,spherical,superparamagnetic,1632.51,,,0,0.5,0.5
10.1007/ s40195-018-0830-5,30,,,Fe3O4,,,silica,440,250,,spherical,superparamagnetic,260,,,,,
10.1007/ s40195-018-0830-5,65,66,0,Fe3O4,,,UOx,440,400,,nanoring,ferrimagnetic,2213,,,0,,
10.1007/ s40195-018-0830-5,9,48,0.0813,CoFe2O4,,,,439.82,150,,spherical,ferrimagnetic,232,,,,,
10.1007/ s40195-018-0830-5,11,47,0.0408,CoFe1.9Gd0.1O4,Gd,,,439.82,150,,spherical,ferrimagnetic,197,,,,0.1,
10.1007/ s40195-018-0830-5,10,42,0.03,CoFe1.8Gd0.2O4,Gd,,,439.82,150,,spherical,ferrimagnetic,139,,,,0.2,
10.1007/ s40195-018-0830-5,12,40,0.0231,CoFe1.75Gd0.25O4,Gd,,,439.82,150,,spherical,ferrimagnetic,91,,,,0.25,
10.1007/ s40195-018-0830-5,17,34.49,,Zn0.25Mg0.75Fe2O4,Zn,Mg,,439.82,265,0.5,spherical,ferrimagnetic,112,,,,0.25,0.75
10.1007/ s40195-018-0830-5,17,34.49,,Zn0.25Mg0.75Fe2O4,Zn,Mg,,439.82,265,2.5,spherical,ferrimagnetic,97,,,,0.25,0.75
10.1007/ s40195-018-0830-5,17,34.49,,Zn0.25Mg0.75Fe2O4,Zn,Mg,,439.82,265,5,spherical,ferrimagnetic,74,,,,0.25,0.75
10.1007/ s40195-018-0830-5,14,59,0,Fe3O4,,,,439.8,312,1,spherical,superparamagnetic,165.08,,,0,,
10.1007/ s40195-018-0830-5,14,59,0,Fe3O4,,,,439.8,312,2,spherical,superparamagnetic,147.07,,,0,,
10.1007/ s40195-018-0830-5,14,59,0,Fe3O4,,,,439.8,312,3,spherical,superparamagnetic,131.72,,,0,,
10.1016/ j.rinp.2021.105095,14,59,0,Fe3O4,,,,439.8,312,4,spherical,superparamagnetic,119.88,,,0,,
10.1016/ j.rinp.2021.105095,14,59,0,Fe3O4,,,,439.8,312,5,spherical,superparamagnetic,104.6,,,0,,
10.1016/ j.jmmm.2016.01.044,56,87,,Fe3O4,,,,430,1013,,,superparamagnetic,1474,,,,,
10.1016/ j.jmmm.2016.01.044,13.9,52.8,320.2,Co0.7Ca0.3Fe2O4,Co,Ca,oleic acid,425,316,0.5,spherical,superparamagnetic,142.1,,,0.24,0.7,0.3
10.1016/ j.jmmm.2016.01.044,13.9,52.8,320.2,Co0.7Ca0.3Fe2O4,Co,Ca,oleic acid,425,316,1,spherical,superparamagnetic,198.4,,,0.24,0.7,0.3
10.1016/ j.jmmm.2016.01.044,13.9,52.8,320.2,Co0.7Ca0.3Fe2O4,Co,Ca,oleic acid,425,316,3,spherical,superparamagnetic,310.4,,,0.24,0.7,0.3
10.1016/ j.jmmm.2016.01.044,10,32,0,Fe3O4,,,"Hydroxyapatite, Gelatin",422,265,1,Rod-like,superparamagnetic,300,,,,,
10.1016/ j.jmmm.2018.06.051,10,32,0,Fe3O4,,,"Hydroxyapatite, Gelatin",422,265,5,Rod-like,superparamagnetic,100,,,,,
10.1016/ j.jmmm.2018.06.051,13.1,77.4,861,CoFe2O4,,,,416.1,126,10,spherical,ferrimagnetic,149.4,1.4,,0.2,,
10.1016/ j.jmmm.2018.06.051,13.1,77.4,861,CoFe2O4,,,,416.1,126,30,spherical,ferrimagnetic,95.3,1.4,,0.2,,
10.1016/ j.jmmm.2018.06.051,13.1,77.4,861,CoFe2O4,,,,416.1,126,50,spherical,ferrimagnetic,40.4,1.4,,0.2,,
10.1016/ j.jmmm.2018.06.051,13.3,74.4,846,CoFe2O4,,,chitosan,416.1,126,10,spherical,ferrimagnetic,267.2,1.9,,0.2,,
10.1016/ j.jmmm.2018.06.051,13.3,74.4,846,CoFe2O4,,,chitosan,416.1,126,30,spherical,ferrimagnetic,260.6,1.9,,0.2,,
10.1016/ j.jmmm.2018.06.051,13.3,74.4,846,CoFe2O4,,,chitosan,416.1,126,50,spherical,ferrimagnetic,213.9,1.9,,0.2,,
